fixture_id,fixture_display,kickoff_local,app,market_original,market_id,selection_original,selection_id,line,odds,promo,source_image,capture_time,notes
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Bosnia y H... -2,home,-2,3.95,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate -2,draw,-2,4.35,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Catar +2,away,+2,1.67,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Bosnia y H... -1,home,-1,2.20,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate -1,draw,-1,3.75,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Catar +1,away,+1,2.77,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Bosnia y H... +1,home,+1,1.13,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Empate +1,draw,+1,7.50,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-bih-qat,Bosnia y Herzegovina vs Catar,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Catar -1,away,-1,15.50,false,IMG_7558.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Resultado del partido,match_result,1,home,,2.50,false,IMG_7559.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Resultado del partido,match_result,X,draw,,2.90,false,IMG_7559.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Resultado del partido,match_result,2,away,,3.30,false,IMG_7559.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Doble oportunidad,double_chance,Suiza o Empate,home_draw,,1.36,false,IMG_7559.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Doble oportunidad,double_chance,Suiza o Canadá,home_away,,1.38,false,IMG_7559.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Doble oportunidad,double_chance,Canadá o Empate,draw_away,,1.57,false,IMG_7559.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Más de 2.5,over,2.5,2.12,false,IMG_7560.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Menos 2.5,under,2.5,1.72,false,IMG_7560.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Más de 1.5,over,1.5,1.38,false,IMG_7560.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Menos 1.5,under,1.5,3.05,false,IMG_7560.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Más de 3.5,over,3.5,3.70,false,IMG_7560.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Menos 3.5,under,3.5,1.29,false,IMG_7560.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Más de 0.5,over,0.5,1.09,false,IMG_7560.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Menos 0.5,under,0.5,7.30,false,IMG_7560.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Más de 4.5,over,4.5,7.00,false,IMG_7560.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Menos 4.5,under,4.5,1.10,false,IMG_7560.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Más de 5.5,over,5.5,12.00,false,IMG_7560.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Goles totales Más/Menos,total_goals,Menos 5.5,under,5.5,1.03,false,IMG_7560.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Ambos equipos anotan,btts,Sí,yes,,1.75,false,IMG_7560.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Ambos equipos anotan,btts,No,no,,2.02,false,IMG_7560.PNG,2026-06-21 22:22 -05:00,
2026-06-24-sui-can,Suiza vs Canadá,2026-06-24 14:00,Betano,Hándicap Resultado del Partido,result_handicap,Suiza -3,home,-3,27.00,false,IMG_7561.PNG,2026-06-21 22:22 -05:00,
