date,competition,weight,team_a,team_b,elo_a,elo_b,outcome,score_a,score_b,odds_a,odds_d,odds_b
2022-11-22,WC_2022_GROUP,1.0,FRA,AUS,2034.0,1790.0,A,4,1,1.22,6.5,13.0
2022-11-22,WC_2022_GROUP,1.0,MEX,POL,1834.0,1802.0,D,0,0,2.8,3.1,2.7
2022-11-23,WC_2022_GROUP,1.0,BEL,CAN,1896.0,1778.0,A,1,0,1.55,4.0,6.5
2022-11-23,WC_2022_GROUP,1.0,ESP,CRC,2074.0,1712.0,A,7,0,1.18,7.0,15.0
2022-11-23,WC_2022_GROUP,1.0,GER,JPN,2012.0,1838.0,B,1,2,1.45,4.5,7.5
2022-11-23,WC_2022_GROUP,1.0,MAR,CRO,1838.0,1898.0,D,0,0,3.2,3.1,2.4
2022-11-24,WC_2022_GROUP,1.0,BRA,SRB,2012.0,1802.0,A,2,0,1.35,5.0,9.5
2022-11-24,WC_2022_GROUP,1.0,POR,GHA,1978.0,1688.0,A,3,2,1.4,4.5,8.0
2022-11-24,WC_2022_GROUP,1.0,SUI,CMR,1868.0,1722.0,A,1,0,1.95,3.3,4.2
2022-11-24,WC_2022_GROUP,1.0,URU,KOR,1892.0,1812.0,D,0,0,2.1,3.2,3.6
2022-11-25,WC_2022_GROUP,1.0,ENG,USA,2021.9,1811.6,D,0,0,1.55,4.0,6.5
2022-11-25,WC_2022_GROUP,1.0,NED,ECU,1973.3,1845.7,D,1,1,1.75,3.5,5.0
2022-11-25,WC_2022_GROUP,1.0,QAT,SEN,1881.3,1786.7,B,1,3,6.5,4.2,1.55
2022-11-25,WC_2022_GROUP,1.0,WAL,IRN,1798.4,1768.1,B,0,2,2.2,3.1,3.5
2022-11-26,WC_2022_GROUP,1.0,ARG,MEX,2046.6,1833.1,A,2,0,1.45,4.2,8.0
2022-11-26,WC_2022_GROUP,1.0,FRA,DEN,2037.9,1959.5,A,2,1,1.5,4.2,7.0
2022-11-26,WC_2022_GROUP,1.0,POL,KSA,1802.9,1658.4,A,2,0,1.85,3.4,4.5
2022-11-26,WC_2022_GROUP,1.0,TUN,AUS,1704.5,1786.1,B,0,1,3.0,3.1,2.5
2022-11-27,WC_2022_GROUP,1.0,BEL,MAR,1902.7,1839.7,B,0,2,1.75,3.5,5.0
2022-11-27,WC_2022_GROUP,1.0,CRO,CAN,1896.3,1771.3,A,4,1,1.65,3.8,5.5
2022-11-27,WC_2022_GROUP,1.0,ESP,GER,2076.2,1997.4,D,1,1,2.4,3.3,3.0
2022-11-27,WC_2022_GROUP,1.0,JPN,CRC,1852.6,1709.8,B,0,1,1.7,3.6,5.5
2022-11-28,WC_2022_GROUP,1.0,BRA,SUI,2016.6,1874.0,A,1,0,1.45,4.1,7.5
2022-11-28,WC_2022_GROUP,1.0,CMR,SRB,1716.0,1797.4,D,3,3,3.8,3.4,2.0
2022-11-28,WC_2022_GROUP,1.0,KOR,GHA,1814.3,1684.8,B,2,3,2.1,3.2,3.6
2022-11-28,WC_2022_GROUP,1.0,POR,URU,1981.2,1889.7,A,2,0,2.05,3.2,3.8
2022-11-29,WC_2022_GROUP,1.0,ECU,SEN,1849.2,1799.3,B,1,2,2.6,3.2,2.8
2022-11-29,WC_2022_GROUP,1.0,IRN,USA,1779.0,1817.0,B,0,1,4.5,3.4,1.85
2022-11-29,WC_2022_GROUP,1.0,NED,QAT,1969.8,1868.7,A,2,0,1.12,9.0,21.0
2022-11-29,WC_2022_GROUP,1.0,WAL,ENG,1787.5,2016.5,B,0,3,6.5,4.0,1.55
2022-11-30,WC_2022_GROUP,1.0,AUS,DEN,1793.8,1951.7,A,1,0,4.5,3.4,1.85
2022-11-30,WC_2022_GROUP,1.0,KSA,MEX,1652.3,1828.6,B,1,2,3.6,3.2,2.1
2022-11-30,WC_2022_GROUP,1.0,POL,ARG,1809.0,2051.1,B,0,2,5.5,3.6,1.65
2022-11-30,WC_2022_GROUP,1.0,TUN,FRA,1696.8,2045.7,A,1,0,9.0,4.5,1.35
2022-12-01,WC_2022_GROUP,1.0,CAN,MAR,1764.7,1851.5,B,1,2,4.0,3.3,1.95
2022-12-01,WC_2022_GROUP,1.0,CRC,GER,1723.7,1999.6,B,2,4,7.0,4.5,1.45
2022-12-01,WC_2022_GROUP,1.0,CRO,BEL,1902.8,1890.9,D,0,0,3.4,3.3,2.15
2022-12-01,WC_2022_GROUP,1.0,JPN,ESP,1838.7,2074.0,A,2,1,5.5,3.8,1.6
2022-12-02,WC_2022_GROUP,1.0,CMR,BRA,1718.3,2022.7,A,1,0,8.0,4.5,1.4
2022-12-02,WC_2022_GROUP,1.0,GHA,URU,1698.4,1882.3,B,0,2,5.5,3.8,1.65
2022-12-02,WC_2022_GROUP,1.0,KOR,POR,1800.7,1988.6,A,2,1,6.5,4.2,1.5
2022-12-02,WC_2022_GROUP,1.0,SRB,SUI,1795.1,1867.9,B,2,3,3.2,3.2,2.3
2026-06-11,WC_2026_GROUP,1.0,MEX,RSA,1790.0,1675.0,A,2,0,,,
2026-06-11,WC_2026_GROUP,1.0,KOR,CZE,1725.0,1795.0,A,2,1,,,
2026-06-12,WC_2026_GROUP,1.0,CAN,BIH,1860.0,1720.0,D,1,1,,,
2026-06-12,WC_2026_GROUP,1.0,USA,PAR,1780.0,1710.0,A,4,1,,,
2026-06-13,WC_2026_GROUP,1.0,SUI,QAT,1830.0,1570.0,D,1,1,,,
2026-06-13,WC_2026_GROUP,1.0,BRA,MAR,1978.0,1830.0,D,1,1,,,
2026-06-13,WC_2026_GROUP,1.0,SCO,HAI,1765.0,1500.0,A,1,0,,,
2026-06-14,WC_2026_GROUP,1.0,AUS,TUR,1639.0,1800.0,A,2,0,,,
2026-06-14,WC_2026_GROUP,1.0,GER,CUR,1900.0,1530.0,A,7,1,,,
2026-06-14,WC_2026_GROUP,1.0,NED,JPN,1935.0,1815.0,D,2,2,,,
2026-06-14,WC_2026_GROUP,1.0,CIV,ECU,1725.0,1795.0,A,1,0,,,
2026-06-14,WC_2026_GROUP,1.0,SWE,TUN,1715.0,1650.0,A,5,1,,,
