fixture_id,fixture_display,kickoff_local,app,market_original,market_id,selection_original,selection_id,line,odds,promo,source_image,capture_time,notes,source_kind,source_file,source_sha256,capture_time_derivation,market_family,market_period,settlement_rule_id,selected_team,selection_canonical,handicap_home_line,handicap_selected_line,total_line,combo_leg_1_type,combo_leg_1_selection,combo_leg_1_line,combo_leg_2_type,combo_leg_2_selection,combo_leg_2_line,market_group_id,is_complete_market,transcription_status,transcription_confidence
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Double Chance,double_chance,Austria or Draw,draw_or_away,,1.35,false,IMG_7828.jpg,2026-06-27 10:28 -05:00,standard,manual_user_input,manual_odds_20260627_20260629.csv,472ba29089c9f20b37f4daa3f17e3222f5240c2d29aa9740e7ecc992090b73fd,manual_user_input_verbatim_timezone_aware,double_chance,full_time,double_chance_1x2_v1,,draw_or_away,,,,,,,,,,2026-06-27-alg-aut|Betano|standard|manual_user_input|manual_odds_20260627_20260629.csv|IMG_7828.jpg|standard|double_chance,true,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Double Chance,double_chance,Algeria or Austria,home_or_away,,1.5,false,IMG_7828.jpg,2026-06-27 10:28 -05:00,standard,manual_user_input,manual_odds_20260627_20260629.csv,472ba29089c9f20b37f4daa3f17e3222f5240c2d29aa9740e7ecc992090b73fd,manual_user_input_verbatim_timezone_aware,double_chance,full_time,double_chance_1x2_v1,,home_or_away,,,,,,,,,,2026-06-27-alg-aut|Betano|standard|manual_user_input|manual_odds_20260627_20260629.csv|IMG_7828.jpg|standard|double_chance,true,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Double Chance,double_chance,Algeria or Draw,home_or_draw,,1.44,false,IMG_7828.jpg,2026-06-27 10:28 -05:00,standard,manual_user_input,manual_odds_20260627_20260629.csv,472ba29089c9f20b37f4daa3f17e3222f5240c2d29aa9740e7ecc992090b73fd,manual_user_input_verbatim_timezone_aware,double_chance,full_time,double_chance_1x2_v1,,home_or_draw,,,,,,,,,,2026-06-27-alg-aut|Betano|standard|manual_user_input|manual_odds_20260627_20260629.csv|IMG_7828.jpg|standard|double_chance,true,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Double Chance,double_chance,Algeria or ...,visible_1,,1.60,false,IMG_7744.PNG,2026-06-21 23:00 -05:00,Selection label truncated in app,screenshot,odds_june27.csv,4308aa5c72fa8d381d7d2655586e91e20b76035344ccc316b5bf657e927984c1,date_from_frozen_file_metadata:odds_june27.csv,unsupported,full_time,,,,,,,,,,,,,,false,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Double Chance,double_chance,Algeria or ...,visible_2,,1.34,false,IMG_7744.PNG,2026-06-21 23:00 -05:00,Selection label truncated in app,screenshot,odds_june27.csv,4308aa5c72fa8d381d7d2655586e91e20b76035344ccc316b5bf657e927984c1,date_from_frozen_file_metadata:odds_june27.csv,unsupported,full_time,,,,,,,,,,,,,,false,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Double Chance,double_chance,Draw or Au...,visible_3,,1.39,false,IMG_7744.PNG,2026-06-21 23:00 -05:00,Selection label truncated in app,screenshot,odds_june27.csv,4308aa5c72fa8d381d7d2655586e91e20b76035344ccc316b5bf657e927984c1,date_from_frozen_file_metadata:odds_june27.csv,unsupported,full_time,,,,,,,,,,,,,,false,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,1.5 Handicap + Total Goals 2.5,handicap_total_goals_2_5,1 + Over,1_over,1.5 / 2.5,2.77,false,IMG_7745.PNG,2026-06-21 23:00 -05:00,,screenshot,odds_june27.csv,73b7c4f695f538f34f69b612e9a1fd0b77f2d19a6f0168e0b3b6682ea3dec844,date_from_frozen_file_metadata:odds_june27.csv,handicap_total_combo,full_time,asian_handicap_and_total_v1,ALG,home_over,1.5,1.5,2.5,asian_handicap,home,1.5,total_goals,over,2.5,2026-06-27-alg-aut|Betano|combo|1.5|2.5,false,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,1.5 Handicap + Total Goals 2.5,handicap_total_goals_2_5,1 + Under,1_under,1.5 / 2.5,1.99,false,IMG_7745.PNG,2026-06-21 23:00 -05:00,,screenshot,odds_june27.csv,73b7c4f695f538f34f69b612e9a1fd0b77f2d19a6f0168e0b3b6682ea3dec844,date_from_frozen_file_metadata:odds_june27.csv,handicap_total_combo,full_time,asian_handicap_and_total_v1,ALG,home_under,1.5,1.5,2.5,asian_handicap,home,1.5,total_goals,under,2.5,2026-06-27-alg-aut|Betano|combo|1.5|2.5,false,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,1.5 Handicap + Total Goals 2.5,handicap_total_goals_2_5,2 + Over,2_over,1.5 / 2.5,8.20,false,IMG_7745.PNG,2026-06-21 23:00 -05:00,,screenshot,odds_june27.csv,73b7c4f695f538f34f69b612e9a1fd0b77f2d19a6f0168e0b3b6682ea3dec844,date_from_frozen_file_metadata:odds_june27.csv,handicap_total_combo,full_time,asian_handicap_and_total_v1,AUT,away_over,1.5,-1.5,2.5,asian_handicap,away,-1.5,total_goals,over,2.5,2026-06-27-alg-aut|Betano|combo|1.5|2.5,false,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,1.5 Handicap + Total Goals 2.5,handicap_total_goals_2_5,2 + Under,2_under,1.5 / 2.5,12.00,false,IMG_7745.PNG,2026-06-21 23:00 -05:00,,screenshot,odds_june27.csv,73b7c4f695f538f34f69b612e9a1fd0b77f2d19a6f0168e0b3b6682ea3dec844,date_from_frozen_file_metadata:odds_june27.csv,handicap_total_combo,full_time,asian_handicap_and_total_v1,AUT,away_under,1.5,-1.5,2.5,asian_handicap,away,-1.5,total_goals,under,2.5,2026-06-27-alg-aut|Betano|combo|1.5|2.5,false,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Match Result,match_result,Austria,away,,3.2,false,IMG_7828.jpg,2026-06-27 10:28 -05:00,standard,manual_user_input,manual_odds_20260627_20260629.csv,472ba29089c9f20b37f4daa3f17e3222f5240c2d29aa9740e7ecc992090b73fd,manual_user_input_verbatim_timezone_aware,1x2,full_time,full_time_1x2_v1,,away,,,,,,,,,,2026-06-27-alg-aut|Betano|standard|manual_user_input|manual_odds_20260627_20260629.csv|IMG_7828.jpg|standard|1x2,true,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Match Result,match_result,Draw,draw,,2.22,false,IMG_7828.jpg,2026-06-27 10:28 -05:00,standard,manual_user_input,manual_odds_20260627_20260629.csv,472ba29089c9f20b37f4daa3f17e3222f5240c2d29aa9740e7ecc992090b73fd,manual_user_input_verbatim_timezone_aware,1x2,full_time,full_time_1x2_v1,,draw,,,,,,,,,,2026-06-27-alg-aut|Betano|standard|manual_user_input|manual_odds_20260627_20260629.csv|IMG_7828.jpg|standard|1x2,true,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Match Result,match_result,Algeria,home,,3.8,false,IMG_7828.jpg,2026-06-27 10:28 -05:00,standard,manual_user_input,manual_odds_20260627_20260629.csv,472ba29089c9f20b37f4daa3f17e3222f5240c2d29aa9740e7ecc992090b73fd,manual_user_input_verbatim_timezone_aware,1x2,full_time,full_time_1x2_v1,,home,,,,,,,,,,2026-06-27-alg-aut|Betano|standard|manual_user_input|manual_odds_20260627_20260629.csv|IMG_7828.jpg|standard|1x2,true,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Match Result - Early Payout,match_result_early_payout,Algeria,algeria,,2.98,true,IMG_7742.PNG,2026-06-21 23:00 -05:00,,screenshot,odds_june27.csv,aef68d42a2a06d02f7f2b4033af5c1e2e1b64ac6222fe4f497fbb6a528ed567d,date_from_frozen_file_metadata:odds_june27.csv,unsupported,full_time,,,,,,,,,,,,,,false,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Match Result - Early Payout,match_result_early_payout,Austria,austria,,2.40,true,IMG_7742.PNG,2026-06-21 23:00 -05:00,,screenshot,odds_june27.csv,aef68d42a2a06d02f7f2b4033af5c1e2e1b64ac6222fe4f497fbb6a528ed567d,date_from_frozen_file_metadata:odds_june27.csv,unsupported,full_time,,,,,,,,,,,,,,false,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Match Result - Early Payout,match_result_early_payout,Draw,draw,,3.15,true,IMG_7742.PNG,2026-06-21 23:00 -05:00,,screenshot,odds_june27.csv,aef68d42a2a06d02f7f2b4033af5c1e2e1b64ac6222fe4f497fbb6a528ed567d,date_from_frozen_file_metadata:odds_june27.csv,unsupported,full_time,,,,,,,,,,,,,,false,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Number of Goals,number_of_goals_full_time,Over 0.5,over_0_5,0.5,1.07,false,IMG_7743.PNG,2026-06-21 23:00 -05:00,Full Time tab,screenshot,odds_june27.csv,14f3dda61d588d29f571bbfc16ed3ce02dd30ab164e58d65733d0a83be0c72fc,date_from_frozen_file_metadata:odds_june27.csv,total_goals,full_time,asian_total_score_grid_v1,,over,,,0.5,,,,,,,2026-06-27-alg-aut|Betano|standard|screenshot|odds_june27.csv|IMG_7743.PNG|Full Time tab|total|0.5,true,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Number of Goals,number_of_goals_full_time,Over 1.5,over_1_5,1.5,1.37,false,IMG_7743.PNG,2026-06-21 23:00 -05:00,Full Time tab,screenshot,odds_june27.csv,14f3dda61d588d29f571bbfc16ed3ce02dd30ab164e58d65733d0a83be0c72fc,date_from_frozen_file_metadata:odds_june27.csv,total_goals,full_time,asian_total_score_grid_v1,,over,,,1.5,,,,,,,2026-06-27-alg-aut|Betano|standard|screenshot|odds_june27.csv|IMG_7743.PNG|Full Time tab|total|1.5,true,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Number of Goals,number_of_goals_full_time,Over 3.5,over_3_5,3.5,3.85,false,IMG_7743.PNG,2026-06-21 23:00 -05:00,Full Time tab,screenshot,odds_june27.csv,14f3dda61d588d29f571bbfc16ed3ce02dd30ab164e58d65733d0a83be0c72fc,date_from_frozen_file_metadata:odds_june27.csv,total_goals,full_time,asian_total_score_grid_v1,,over,,,3.5,,,,,,,2026-06-27-alg-aut|Betano|standard|screenshot|odds_june27.csv|IMG_7743.PNG|Full Time tab|total|3.5,true,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Number of Goals,number_of_goals_full_time,Over 4.5,over_4_5,4.5,8.10,false,IMG_7743.PNG,2026-06-21 23:00 -05:00,Full Time tab,screenshot,odds_june27.csv,14f3dda61d588d29f571bbfc16ed3ce02dd30ab164e58d65733d0a83be0c72fc,date_from_frozen_file_metadata:odds_june27.csv,total_goals,full_time,asian_total_score_grid_v1,,over,,,4.5,,,,,,,2026-06-27-alg-aut|Betano|standard|screenshot|odds_june27.csv|IMG_7743.PNG|Full Time tab|total|4.5,true,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Number of Goals,number_of_goals_full_time,Over 5.5,over_5_5,5.5,17.00,false,IMG_7743.PNG,2026-06-21 23:00 -05:00,Full Time tab,screenshot,odds_june27.csv,14f3dda61d588d29f571bbfc16ed3ce02dd30ab164e58d65733d0a83be0c72fc,date_from_frozen_file_metadata:odds_june27.csv,total_goals,full_time,asian_total_score_grid_v1,,over,,,5.5,,,,,,,2026-06-27-alg-aut|Betano|standard|screenshot|odds_june27.csv|IMG_7743.PNG|Full Time tab|total|5.5,true,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Number of Goals,number_of_goals_full_time,Under 0.5,under_0_5,0.5,8.80,false,IMG_7743.PNG,2026-06-21 23:00 -05:00,Full Time tab,screenshot,odds_june27.csv,14f3dda61d588d29f571bbfc16ed3ce02dd30ab164e58d65733d0a83be0c72fc,date_from_frozen_file_metadata:odds_june27.csv,total_goals,full_time,asian_total_score_grid_v1,,under,,,0.5,,,,,,,2026-06-27-alg-aut|Betano|standard|screenshot|odds_june27.csv|IMG_7743.PNG|Full Time tab|total|0.5,true,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Number of Goals,number_of_goals_full_time,Under 1.5,under_1_5,1.5,3.15,false,IMG_7743.PNG,2026-06-21 23:00 -05:00,Full Time tab,screenshot,odds_june27.csv,14f3dda61d588d29f571bbfc16ed3ce02dd30ab164e58d65733d0a83be0c72fc,date_from_frozen_file_metadata:odds_june27.csv,total_goals,full_time,asian_total_score_grid_v1,,under,,,1.5,,,,,,,2026-06-27-alg-aut|Betano|standard|screenshot|odds_june27.csv|IMG_7743.PNG|Full Time tab|total|1.5,true,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Number of Goals,number_of_goals_full_time,Under 3.5,under_3_5,3.5,1.27,false,IMG_7743.PNG,2026-06-21 23:00 -05:00,Full Time tab,screenshot,odds_june27.csv,14f3dda61d588d29f571bbfc16ed3ce02dd30ab164e58d65733d0a83be0c72fc,date_from_frozen_file_metadata:odds_june27.csv,total_goals,full_time,asian_total_score_grid_v1,,under,,,3.5,,,,,,,2026-06-27-alg-aut|Betano|standard|screenshot|odds_june27.csv|IMG_7743.PNG|Full Time tab|total|3.5,true,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Number of Goals,number_of_goals_full_time,Under 4.5,under_4_5,4.5,1.08,false,IMG_7743.PNG,2026-06-21 23:00 -05:00,Full Time tab,screenshot,odds_june27.csv,14f3dda61d588d29f571bbfc16ed3ce02dd30ab164e58d65733d0a83be0c72fc,date_from_frozen_file_metadata:odds_june27.csv,total_goals,full_time,asian_total_score_grid_v1,,under,,,4.5,,,,,,,2026-06-27-alg-aut|Betano|standard|screenshot|odds_june27.csv|IMG_7743.PNG|Full Time tab|total|4.5,true,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Number of Goals,number_of_goals_full_time,Under 5.5,under_5_5,5.5,1.02,false,IMG_7743.PNG,2026-06-21 23:00 -05:00,Full Time tab,screenshot,odds_june27.csv,14f3dda61d588d29f571bbfc16ed3ce02dd30ab164e58d65733d0a83be0c72fc,date_from_frozen_file_metadata:odds_june27.csv,total_goals,full_time,asian_total_score_grid_v1,,under,,,5.5,,,,,,,2026-06-27-alg-aut|Betano|standard|screenshot|odds_june27.csv|IMG_7743.PNG|Full Time tab|total|5.5,true,transcribed,high
2026-06-27-alg-aut,Algeria vs Austria,2026-06-27T21:00:00-05:00,Betano,Total Goals,total_goals,Over,over,0.5,1.19,false,IMG_7829.jpg,2026-06-27 10:28 -05:00,standard,manual_user_input,manual_odds_20260627_20260629.csv,472ba29089c9f20b37f4daa3f17e3222f5240c2d29aa9740e7ecc992090b73fd,manual_user_input_verbatim_timezone_aware,total_goals,full_time,asian_total_score_grid_v1,,over,,,0.5,,,,,,,2026-06-27-alg-aut|Betano|standard|manual_user_input|manual_odds_20260627_20260629.csv|IMG_7829.jpg|standard|total|0.5,true,transcribed,high
