source_image,source_sha256,fixture_id,app,transcribed_selection_rows,inventory_status
IMG_7583.PNG,7dd2eddbf4ccd823816a1f711248ad3a64972fd61b277372a2b80ed0107cd623,2026-06-25-tun-ned,Betsson,0,reviewed_no_supported_row
IMG_7584.PNG,e2a70de764762afeea4de8ad47d4d91786f5a03cc98b08afffcb00d5baa6a28d,2026-06-25-tun-ned,Betsson,0,reviewed_no_supported_row
IMG_7585.PNG,55bae3264cb607636756505a0d8fc8f6047a69f3baac3e4239a881676d47f21a,2026-06-25-tun-ned,Betsson,0,reviewed_no_supported_row
IMG_7586.PNG,ed73c40ca93f4da0258424ba807578f03600afb69baeefa5cadc7bfeabc1e75e,2026-06-25-jpn-swe,Betsson,3,odds_transcribed
IMG_7587.PNG,a76f8b128b8f3b987e18467a9b5873c9a69590df89306d7abdbbaf038fa8c240,2026-06-25-jpn-swe,Betsson,0,reviewed_no_supported_row
IMG_7589.PNG,6246c34fe79c33faa4ddb63c724ab31fe19ed83f3e942db6fea32847549ed266,2026-06-25-par-aus,Betsson,3,odds_transcribed
IMG_7590.PNG,b145112accd8487d1b42509779a3928f099a1bc865a46fa0ad721f0d9d532f73,2026-06-25-par-aus,Betsson,0,reviewed_no_supported_row
IMG_7591.PNG,85cae337a99cde7566d9b5f2a1afb191102c84f20fe6f26aa99dcc5ae01cb091,2026-06-25-par-aus,Betsson,0,reviewed_no_supported_row
IMG_7592.PNG,c0abff75c968cedea866d0ab6f58c24dcb547285ddafa50348af1c943250fff6,2026-06-25-tur-usa,Betsson,3,odds_transcribed
IMG_7593.PNG,8d28714f98d4c440abe82d7a2a2fa77b8e846ded1cce8bc35da0078f206064db,2026-06-25-tur-usa,Betsson,0,reviewed_no_supported_row
IMG_7594.PNG,26432056d0e7a93bcea0adcb2d498822eac57ba71039cf3ee7e49149665d4e58,2026-06-25-tur-usa,Betsson,0,reviewed_no_supported_row
IMG_7595.PNG,13afed4fc17a80e1a9c9b80a36e091efd20de5b04d2c5597072c4036d603148f,2026-06-26-nor-fra,Betsson,3,odds_transcribed
IMG_7596.PNG,c09b55b427764a0352f9159b2e3bee3126f2ce5c74c1dab49d038f0074e22db9,2026-06-26-nor-fra,Betsson,0,reviewed_no_supported_row
IMG_7597.PNG,f0642a81e569d763db94ccb194e48e1d808a64ec0cb98de045005fadd2c5cc00,2026-06-26-nor-fra,Betsson,0,reviewed_no_supported_row
IMG_7598.PNG,af29c71f5baf16a1e2dca531a20007b1e396c5f0d72eb5b116004a234fb7fe55,2026-06-26-sen-irq,Betsson,3,odds_transcribed
IMG_7599.PNG,170011d14f2f60060c3e66c57d7715b284a317d45140e8f3df6612ae7d0a0d2f,2026-06-26-sen-irq,Betsson,0,reviewed_no_supported_row
IMG_7600.PNG,5b64ed717f4468cdf26f02e866c985d9f30fc47ee5bee40773dc0149f19f64cd,2026-06-26-sen-irq,Betsson,0,reviewed_no_supported_row
IMG_7601.PNG,89ae0102a598d962aa9df1524397bfdb9804d5c45668cafe1e3978d265ccc780,2026-06-26-cpv-ksa,Betsson,3,odds_transcribed
IMG_7602.PNG,5e21c8b7f788a1ed96cf507b66d80b214c0ae3755ac57046f89d7c6f0b9e37da,2026-06-26-cpv-ksa,Betsson,0,reviewed_no_supported_row
IMG_7603.PNG,662e4021ee125f1680768a8063859aa1694ba14f2cf20393083fb32701606251,2026-06-26-cpv-ksa,Betsson,0,reviewed_no_supported_row
IMG_7604.PNG,101454a684d270657b5185a563f4c680962fee77d79fcd0d62d1a259933fb2f8,2026-06-26-uru-esp,Betsson,3,odds_transcribed
IMG_7605.PNG,ea35d492430b79314e7cdbec6d652907b9188ae9f717628c0f9847c6e45ce914,2026-06-26-uru-esp,Betsson,0,reviewed_no_supported_row
IMG_7606.PNG,62f9249c336cbace846d97ed6d292d3920732b1cf461bfbb2f7005f657ef9457,2026-06-26-uru-esp,Betsson,0,reviewed_no_supported_row
IMG_7607.PNG,b33864d2d7056cb9d99e1df5c6b8aec544a3c5fd43637afb44a19f0377208231,2026-06-26-uru-esp,Betsson,0,reviewed_no_supported_row
IMG_7608.PNG,0059344a099c74e76bad33596a821a596916a19bcf51036602353a68348ea98e,2026-06-26-egy-irn,Betsson,3,odds_transcribed
IMG_7609.PNG,ceab1a48695a82b8c9436802de7377781a0b92853c8e7d25d4f0f7f7bae05956,2026-06-26-egy-irn,Betsson,0,reviewed_no_supported_row
