date,competition,weight,team_a,team_b,elo_a,elo_b,outcome,score_a,score_b,odds_a,odds_d,odds_b
2025-06-05,FRIENDLY,0.6,AUS,JPN,1500.0,1509.1,A,1,0,2.58,2.98,2.79
2025-06-05,FRIENDLY,0.6,IRQ,KOR,1490.3,1518.9,B,0,2,3.65,3.13,2.06
2025-06-05,FRIENDLY,0.6,QAT,IRN,1490.0,1510.0,A,1,0,2.71,3.15,2.54
2025-06-06,FRIENDLY,0.6,CHI,ARG,1455.8,1542.5,B,0,1,5.04,3.27,1.78
2025-06-06,FRIENDLY,0.6,COL,PER,1505.2,1456.7,D,0,0,1.3,4.97,10.4
2025-06-06,FRIENDLY,0.6,ECU,BRA,1517.1,1502.2,D,0,0,3.98,2.91,2.12
2025-06-06,FRIENDLY,0.6,NOR,ITA,1500.0,1500.0,A,3,0,2.63,3.26,2.65
2025-06-06,FRIENDLY,0.6,PAR,URU,1512.5,1508.1,A,2,0,2.78,2.58,3.13
2025-06-07,FRIENDLY,0.6,FIN,NED,1500.0,1500.0,B,0,2,12.78,5.93,1.23
2025-06-09,FRIENDLY,0.6,BEL,WAL,1500.0,1500.0,A,4,3,1.37,4.73,8.26
2025-06-09,FRIENDLY,0.6,CRO,CZE,1500.0,1500.0,A,5,1,2.01,3.33,3.72
2025-06-10,FRIENDLY,0.6,FIN,POL,1490.0,1500.0,A,2,1,3.24,3.1,2.32
2025-06-10,FRIENDLY,0.6,JOR,IRQ,1491.4,1481.1,B,0,1,2.19,3.0,3.43
2025-06-10,FRIENDLY,0.6,KSA,AUS,1490.3,1510.2,B,1,2,1.94,3.17,4.01
2025-06-11,FRIENDLY,0.6,ARG,COL,1550.1,1503.8,D,1,1,1.65,3.45,5.84
2025-06-11,FRIENDLY,0.6,BRA,PAR,1502.6,1522.4,A,1,0,1.37,4.45,9.34
2025-06-11,FRIENDLY,0.6,PER,ECU,1458.1,1516.6,D,0,0,3.41,2.59,2.57
2025-09-04,WC_QUALIFIER,0.85,NED,POL,1510.0,1489.7,D,1,1,1.26,5.74,10.44
2025-09-05,WC_QUALIFIER,0.85,BRA,CHI,1513.2,1448.3,A,3,0,1.18,6.48,17.75
2025-09-05,WC_QUALIFIER,0.85,DEN,SCO,1500.0,1500.0,D,0,0,1.44,4.19,7.84
2025-09-05,WC_QUALIFIER,0.85,PAR,ECU,1511.8,1515.0,D,0,0,2.38,2.65,3.81
2025-09-05,WC_QUALIFIER,0.85,UKR,FRA,1500.0,1500.0,B,0,2,9.25,5.12,1.32
2025-09-05,WC_QUALIFIER,0.85,URU,PER,1498.2,1459.8,A,3,0,1.42,4.07,8.97
2025-09-06,WC_QUALIFIER,0.85,IRL,HUN,1500.0,1500.0,D,2,2,2.65,2.96,2.87
2025-09-07,WC_QUALIFIER,0.85,POL,FIN,1490.3,1500.3,A,3,1,1.41,4.53,7.22
2025-09-07,WC_QUALIFIER,0.85,TUR,ESP,1500.0,1500.0,B,0,6,6.03,4.4,1.5
2025-09-08,WC_QUALIFIER,0.85,GRE,DEN,1500.0,1500.0,B,0,3,2.32,3.17,3.16
2025-09-09,WC_QUALIFIER,0.85,BIH,AUT,1500.0,1500.0,B,1,2,5.04,3.73,1.68
2025-09-09,WC_QUALIFIER,0.85,CPV,CMR,1490.0,1510.0,A,1,0,2.81,2.75,2.75
2025-09-09,WC_QUALIFIER,0.85,FRA,ISL,1510.0,1500.0,A,2,1,1.07,11.56,26.31
2025-09-09,WC_QUALIFIER,0.85,HUN,POR,1500.0,1500.0,B,2,3,6.31,4.51,1.47
2025-09-09,WC_QUALIFIER,0.85,RSA,NGA,1500.0,1500.0,D,1,1,2.77,2.73,2.81
2025-09-09,WC_QUALIFIER,0.85,SRB,ENG,1500.0,1500.0,B,0,5,4.23,3.31,1.91
2025-09-10,WC_QUALIFIER,0.85,CHI,URU,1440.1,1507.1,D,0,0,4.38,3.25,1.89
2025-09-10,WC_QUALIFIER,0.85,ECU,ARG,1514.9,1548.7,A,1,0,3.23,2.71,2.63
2025-09-10,WC_QUALIFIER,0.85,PER,PAR,1450.9,1511.9,B,0,1,2.65,2.73,3.15
2025-10-09,WC_QUALIFIER,0.85,CZE,CRO,1490.0,1510.0,D,0,0,3.2,3.38,2.2
2025-10-09,WC_QUALIFIER,0.85,SCO,GRE,1500.0,1490.0,A,3,1,2.75,3.1,2.65
2025-10-10,WC_QUALIFIER,0.85,ISL,UKR,1490.3,1490.0,B,3,5,3.15,3.31,2.26
2025-10-10,WC_QUALIFIER,0.85,SWE,SUI,1500.0,1500.0,B,0,2,2.43,3.43,2.78
